rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__min_samples_leaf,param_model__min_samples_split,params,split0_test_score,split0_train_score
77,0.034722222222222224,0.0,0.9832434917053194,0.0,3.4792187213897705,0.0,0.059839487075805664,0.0,1,50,"{'model__min_samples_leaf': 1, 'model__min_samples_split': 50}",0.034722222222222224,0.9832434917053194
78,0.03448275862068966,0.0,0.984370429186343,0.0,3.543050527572632,0.0,0.06681942939758301,0.0,1,10,"{'model__min_samples_leaf': 1, 'model__min_samples_split': 10}",0.03448275862068966,0.984370429186343
78,0.03448275862068966,0.0,0.9845382365231926,0.0,3.46724796295166,0.0,0.08776521682739258,0.0,1,15,"{'model__min_samples_leaf': 1, 'model__min_samples_split': 15}",0.03448275862068966,0.9845382365231926
78,0.03448275862068966,0.0,0.9838669230126222,0.0,3.496175527572632,0.0,0.05884075164794922,0.0,1,20,"{'model__min_samples_leaf': 1, 'model__min_samples_split': 20}",0.03448275862068966,0.9838669230126222
78,0.03448275862068966,0.0,0.9836990595611287,0.0,3.501159429550171,0.0,0.05784487724304199,0.0,1,30,"{'model__min_samples_leaf': 1, 'model__min_samples_split': 30}",0.03448275862068966,0.9836990595611287
78,0.03448275862068966,0.0,0.9831202473468706,0.0,3.3715057373046875,0.0,0.06283116340637207,0.0,1,80,"{'model__min_samples_leaf': 1, 'model__min_samples_split': 80}",0.03448275862068966,0.9831202473468706
78,0.03448275862068966,0.0,0.9832469919786095,0.0,2.555166721343994,0.0,0.10172843933105469,0.0,1,100,"{'model__min_samples_leaf': 1, 'model__min_samples_split': 100}",0.03448275862068966,0.9832469919786095
84,0.034013605442176874,0.0,0.9834627912803808,0.0,2.658890962600708,0.0,0.10272383689880371,0.0,2,10,"{'model__min_samples_leaf': 2, 'model__min_samples_split': 10}",0.034013605442176874,0.9834627912803808
85,0.03378378378378378,0.0,0.9860478716738378,0.0,3.5769567489624023,0.0,0.06283211708068848,0.0,1,5,"{'model__min_samples_leaf': 1, 'model__min_samples_split': 5}",0.03378378378378378,0.9860478716738378
85,0.03378378378378378,0.0,0.9831308196584406,0.0,2.664874315261841,0.0,0.09773778915405273,0.0,2,15,"{'model__min_samples_leaf': 2, 'model__min_samples_split': 15}",0.03378378378378378,0.9831308196584406
87,0.03355704697986577,0.0,0.9831308196584406,0.0,2.6339569091796875,0.0,0.09673929214477539,0.0,2,30,"{'model__min_samples_leaf': 2, 'model__min_samples_split': 30}",0.03355704697986577,0.9831308196584406
88,0.03333333333333333,0.0,0.9830487244791449,0.0,3.2787492275238037,0.0,0.09873509407043457,0.0,2,100,"{'model__min_samples_leaf': 2, 'model__min_samples_split': 100}",0.03333333333333333,0.9830487244791449
89,0.033112582781456956,0.0,0.9830076820307283,0.0,3.590916395187378,0.0,0.09474563598632812,0.0,2,80,"{'model__min_samples_leaf': 2, 'model__min_samples_split': 80}",0.033112582781456956,0.9830076820307283
90,0.032679738562091505,0.0,0.9844310877368729,0.0,2.597054958343506,0.0,0.1077125072479248,0.0,2,2,"{'model__min_samples_leaf': 2, 'model__min_samples_split': 2}",0.032679738562091505,0.9844310877368729
